object_id,submodel,sim_av,TEFF,LOGG,GAIA_DIST,DIST,T0,U0,TE
     18556,1,   0,5951,  4.2527, 2305.21,14544.89,61770.06,  0.5200, 43.0303
     45395,1,   0, 5661.34,  4.5225, 1175.78, 7418.66,59116.96,  0.7215, 77.9219
     81319,1,   0,4871,  4.5485,  656.25, 4140.68,61047.24,  0.3127, 93.6094
     83348,1,   0, 6345.50,  4.3985,  270.44, 1706.35,61764.97,  0.3637,  5.0235
    198103,1,   0,5033,  4.5477,  367.65, 2319.70,62296.85,  0.2444, 33.3289
    201890,1,   0, 5529.03,  4.4160, 1276.81, 8056.15,58692.70,  0.4321, 24.9148
    298226,1,   0, 5784.33,  4.5409, 2063.56,13020.17,60083.54,  0.2195, 18.1044
    331894,1,   0, 4320.70,  4.4478,  984.06, 6208.99,59462.88,  0.2390, 29.9928
   1124140,1,   0, 4895.50,  4.1308, 2256.32,14236.40,58722.36,  0.6807, 39.9188
   1235458,1,   0,5367,  4.2353, 2126.75,13418.91,58610.61,  0.3063, 24.1599
   1497514,1,   0, 4907.84,  4.3525, 1366.31, 8620.81,60818.93,  0.8326,  5.8182
   1727271,1,   0,5325,  4.5446, 1344.45, 8482.89,58958.70,  0.4554,  109.76
   1854631,1,   0,4591,  3.7219, 2554.28,16116.41,61311.29,  0.2845, 22.9451
   1916149,1,   0,5525,  3.8918, 1351.35, 8526.45,61788.17,  0.3542, 34.5647
   2335825,1,   0,3858,  4.5758,  250.39, 1579.88,60220.05,  0.0793, 13.6085
   2809065,1,   0, 7124.84,  4.1615, 2269.63,14320.41,58667.54,  0.6496, 40.1628
   3006803,1,   0, 5807.33,  4.1235, 1503.99, 9489.51,61480.56,  0.9580,  185.63
   3041728,1,   0,4319,  4.6101,  724.90, 4573.81,62119.42,  0.6452, 44.4265
   3202844,1,   0,3901,  4.2824,  570.16, 3597.45,58611.36,  0.8057, 39.8631
   3710243,1,   0, 4884.41,  2.8437, 2318.03,14625.81,62075.65,  0.9245,  104.91
   3749492,1,   0, 5829.33,  4.3394,  843.81, 5324.09,58798.95,  0.6517, 67.0052
   3909248,1,   0,6383,  4.2413, 1602.56,10111.50,60724.89,  0.8181, 18.1056
   4153111,1,   0, 5338.50,  4.3188,  814.40, 5138.51,61380.47,  0.9701, 73.3536
   4653181,1,   0,4308,  4.5233,  706.71, 4459.06,59211.29,  0.4106, 28.4651
   4730152,1,   0,5741,  4.1754, 1942.88,12258.74,60075.05,  0.0090, 33.5907
   4891486,1,   0, 5136.47,  4.6021,  145.24,  916.41,61930.11,  0.2709, 52.6572
   5103151,1,   0, 5363.50,  4.0481, 3242.54,20459.06,61597.07,  0.1860,  149.36
   5112599,1,   0, 4975.17,  4.5527, 1061.68, 6698.77,62103.52,  0.1657, 74.4802
   5320292,1,   0, 4825.23,  4.2675, 1017.09, 6417.39,59760.94,  0.3173, 26.7852
   5476260,1,   0, 5760.88,  4.0626, 1671.40,10545.84,59795.13,  0.3889,  5.5310
   5571378,1,   0,4955,  4.4566,  399.89, 2523.12,61891.61,  0.0694, 13.0685
   5643728,1,   0,4844,  4.5918,  924.56, 5833.56,59712.98,  0.2177, 93.4267
   5972700,1,   0,5327,  4.4172, 1813.24,11440.75,58926.78,  0.4581,  6.3837
   6127923,1,   0,4446,  4.2101,  613.69, 3872.09,58626.98,  0.7609, 99.8726
   6450656,1,   0,4807,  4.5428,  858.15, 5414.55,62062.68,  0.9723,  247.53
   6587239,1,   0, 5513.47,  4.1124,  456.60, 2880.95,61678.84,  0.1798, 65.1249
   6855983,1,   0,4881,  4.1514, 1476.89, 9318.53,59342.93,  0.5126,  7.2796
   7041701,1,   0, 5005.40,  4.2975, 1817.19,11465.70,59561.05,  0.0688, 59.5414
   7071848,1,   0, 5652.75,  4.3038,  515.38, 3251.85,60522.04,  0.9715, 48.0523
   7162954,1,   0,4282,  4.5199,  390.58, 2464.39,59400.45,  0.0369, 75.7609
   7502916,1,   0, 5343.55,  4.6290,  590.21, 3724.00,59880.65,  0.5106, 24.5243
   7554947,1,   0,5100,  4.3072,  541.57, 3417.04,58931.62,  0.2577, 17.0269
   7731052,1,   0, 4390.67,  4.0592, 1963.86,12391.15,61484.24,  0.3381, 11.2097
   7958351,1,   0, 5363.67,  4.4949,  569.25, 3591.72,60736.55,  0.1998, 13.2897
   8204737,1,   0,4915,  4.0552,  785.67, 4957.24,61166.59,  0.0470, 14.8798
   8383041,1,   0, 7124.84,  4.1615, 2269.63,14320.41,58667.54,  0.6496, 40.1628
   8518178,1,   0,5338,  4.4498,  893.66, 5638.58,61500.06,  0.0305,  164.21
   9012516,1,   0, 4705.35,  4.6551,  682.87, 4308.64,58711.61,  0.2621, 49.3769
   9229043,1,   0,5763,  3.8972, 3084.52,19461.98,61580.48,  0.7957, 70.7456
   9409426,1,   0, 3548.67,  4.3730,  408.08, 2574.81,62143.40,  0.0332, 77.3998
   9455940,1,   0, 6037.95,  4.4730, 1115.70, 7039.58,60606.55,  0.2491, 15.0217
   9683805,1,   0, 5801.95,  4.4540,  923.02, 5823.86,59778.55,  0.7485, 58.9195
   9919263,1,   0,4764,  4.3818, 1655.90,10448.04,59696.04,  0.6139, 17.2810
   9934287,1,   0,5329,  4.2405, 1735.51,10950.32,62221.93,  0.7750,  9.7106
  10058254,1,   0, 4610.07,  4.5389, 1129.18, 7124.63,60603.42,  0.4123, 20.3218
  10328940,1,   0, 4875.80,  4.5754,  656.81, 4144.22,60975.86,  0.6593,  147.71
  10343540,1,   0,5428,  4.3265,  959.32, 6052.93,58579.64,  0.9677, 17.7874
  10376465,1,   0, 5378.25,  3.9365,  464.73, 2932.23,60712.13,  0.5840, 34.9357
  10540816,1,   0, 4403.17,  3.6243, 1559.82, 9841.79,59283.02,  0.1706, 56.7520
  10582592,1,   0, 5136.47,  4.6021,  145.24,  916.41,61930.11,  0.2709, 52.6572
  10735025,1,   0, 3809.67,  4.6019,  448.89, 2832.33,58752.00,  0.4307, 48.3142
  11179401,1,   0, 6591.57,  4.4399, 2268.60,14313.91,60069.35,  0.3469, 50.2501
  11754790,1,   0, 4853.55,  4.5309,  198.63, 1253.29,58723.29,  0.5441,  267.32
  11947559,1,   0, 4034.16,  4.5290,  362.00, 2284.09,60002.41,  0.7697, 70.0106
  12000702,1,   0,4328,  4.5647,  393.65, 2483.79,62165.96,  0.6823, 39.0414
  12022536,1,   0, 5407.50,  4.4371, 1932.74,12194.77,58882.20,  0.1875,  155.71
  12123970,1,   0, 4959.69,  4.0269,  209.85, 1324.04,61106.98,  0.3338, 11.8489
  12425034,1,   0,5384,  4.2852, 2161.69,13639.37,59173.20,  0.6735, 24.8000
  12429606,1,   0, 5363.67,  4.4949,  569.25, 3591.72,60736.55,  0.1998, 13.2897
  12646126,1,   0,4948,  4.3868,  949.22, 5989.15,59042.82,  0.7878,  107.31
  12727670,1,   0,5968,  4.3208,  392.91, 2479.11,61631.94,  0.3612, 26.5246
  12907476,1,   0, 4315.67,  4.5225,  688.23, 4342.45,58956.68,  0.4613, 39.6725
  13039782,1,   0, 5343.55,  4.6290,  590.21, 3724.00,59880.65,  0.5106, 24.5243
  13043842,1,   0, 5824.57,  4.1555,  232.32, 1465.84,61244.32,  0.4703, 21.9352
  13079748,1,   0,5770,  4.0625, 1742.77,10996.12,62146.20,  0.5308, 46.0552
  13189990,1,   0, 5825.25,  4.2566, 1196.60, 7550.05,58874.14,  0.4248, 84.1500
  13332707,1,   0, 4857.50,  4.4109,  466.11, 2940.98,60223.71,  0.5183,  5.6151
  13828928,1,   0,5100,  4.3641,  278.23, 1755.54,62207.71,  0.3125, 68.2392
  14548434,1,   0, 4978.08,  4.5414,  584.49, 3687.87,59951.98,  0.0174, 25.4688
  14959735,1,   0,4973,  3.7663, 3003.00,18947.67,61909.55,  0.3159, 42.2834
  15092341,1,   0, 5159.67,  3.2865, 2287.28,14431.78,59473.57,  0.5252, 19.6019
  15103851,1,   0, 5652.75,  4.3038,  515.38, 3251.85,60522.04,  0.9715, 48.0523
  15306986,1,   0, 5407.50,  4.4371, 1932.74,12194.77,58882.20,  0.1875,  155.71
  15358566,1,   0, 4267.33,  3.7075, 2420.14,15270.02,62334.46,  0.2603, 15.9240
  15451129,1,   0,4957,  4.6796,  535.19, 3376.81,60919.50,  0.3744, 25.5257
  15516641,1,   0, 4682.50,  4.5548,  782.96, 4940.16,61563.07,  0.1932, 34.9154
  15797803,1,   0,4256,  3.6374, 2228.16,14058.76,58862.91,  0.4412, 16.3504
  16490586,1,   0, 4424.50,  4.4614,  797.89, 5034.37,61028.59,  0.0799, 12.0302
  16868751,1,   0, 7070.67,  4.3393, 1901.14,11995.39,58894.14,  0.5490, 31.3527
  17008250,1,   0, 5167.19,  4.3660,  431.16, 2720.46,62423.28,  0.0558, 38.2046
  17172771,1,   0, 4913.91,  4.5778, 1161.84, 7330.75,60497.38,  0.9862, 29.8736
  17178253,1,   0,6383,  4.2413, 1602.56,10111.50,60724.89,  0.8181, 18.1056
  17371398,1,   0, 5117.64,  3.7953,  913.16, 5761.64,62252.37,  0.7213, 17.8488
  17516967,1,   0,5411,  4.1924,  590.39, 3725.10,59016.07,  0.9034, 54.9728
  17746576,1,   0,5001,  4.4128,  340.90, 2150.94,58837.16,  0.0919, 55.8737
  17776430,1,   0, 5326.33,  4.4244, 1031.89, 6510.76,58641.62,  0.8350, 59.1513
  17812204,1,   0, 4950.75,  4.5731,  705.82, 4453.40,59382.82,  0.0678, 30.8394
  18021509,1,   0, 4901.97,  4.4714,  474.45, 2993.58,61984.29,  0.5395, 34.2477
  18086383,1,   0,5794,  4.3810,  411.78, 2598.14,60515.97,  0.1222, 19.1658
  18225361,1,   0, 4400.02,  4.1998, 1141.81, 7204.35,60322.41,  0.4610, 29.1605
  18396718,1,   0, 5346.50,  3.8489,  876.81, 5532.29,59206.63,  0.6344, 42.3683
  18398425,1,   0, 5444.28,  4.6041,  364.34, 2298.82,59731.60,  0.2388, 56.4042
  18585986,1,   0, 5441.38,  3.9483, 1153.00, 7274.96,61742.88,  0.6893,  5.5231
  18598339,1,   0, 5305.50,  4.2138, 2211.41,13953.06,59974.75,  0.7405,  8.8770
  19025246,1,   0,6943,  4.2742, 1389.66, 8768.17,59695.01,  0.1448, 19.8778
  19065476,1,   0,4872,  3.9422,  787.65, 4969.73,58732.02,  0.2693,  328.29
  19078886,1,   0, 6272.67,  4.2406,  246.08, 1552.63,59516.51,  0.7818, 23.2157
  19531329,1,   0, 4966.05,  3.8580, 2220.74,14011.93,60097.64,  0.5547, 31.1323
  19543898,1,   0, 7064.83,  4.3438,  543.92, 3431.91,59867.16,  0.6184, 22.9486
  19591609,1,   0, 5220.07,  4.6099,  959.32, 6052.93,60068.78,  0.5075, 13.6272
  19768090,1,   0, 5337.47,  4.2763, 1194.32, 7535.62,58625.05,  0.0218, 11.0003
  19865828,1,   0,5795,  4.2443, 2541.94,16038.57,61617.39,  0.8670, 45.4348
  19938809,1,   0, 4838.71,  4.0439, 1317.87, 8315.20,60840.76,  0.2390,  6.8219
  20084850,1,   0, 6057.54,  4.4091, 1506.70, 9506.67,62170.00,  0.3021, 63.8442
  20397355,1,   0,4475,  4.2095,  952.83, 6011.98,59746.38,  0.9029, 45.1127
  20561514,1,   0,5283,  3.8136, 1288.16, 8127.75,62159.34,  0.9569, 13.7182
  20630488,1,   0, 5044.10,  4.0243, 1300.73, 8207.04,59928.41,  0.0434,  114.50
  20725907,1,   0,4931,  3.8539, 1232.89, 7779.03,62243.53,  0.8222, 44.3260
  20883552,1,   0, 5346.50,  3.8489,  876.81, 5532.29,59206.63,  0.6344, 42.3683
  20968573,1,   0, 5069.33,  4.7228,  668.23, 4216.22,59752.30,  0.8526, 44.3014
  21179419,1,   0,5384,  4.6088, 1266.62, 7991.86,59088.95,  0.0135, 30.3516
  21251202,1,   0, 5523.75,  4.1648,  296.51, 1870.83,59039.87,  0.0718, 24.7017
  21272420,1,   0,5100,  4.3072,  541.57, 3417.04,58931.62,  0.2577, 17.0269
  21338813,1,   0, 5167.19,  4.3660,  431.16, 2720.46,62423.28,  0.0558, 38.2046
  21490829,1,   0, 5125.23,  4.0752, 1982.95,12511.55,61566.56,  0.9121, 60.1125
  21711928,1,   0, 5077.99,  4.4839, 1289.16, 8134.04,62168.10,  0.5037, 14.6011
  21712504,1,   0, 5362.50,  4.2349, 1778.41,11221.01,59739.75,  0.8820, 90.4585
  22841919,1,   0, 5070.66,  4.5943,  580.11, 3660.27,61803.82,  0.9281, 37.8403
  22911300,1,   0, 4991.67,  4.5872,  390.06, 2461.12,60111.70,  0.8914, 37.1911
  22956906,1,   0,6383,  4.2413, 1602.56,10111.50,60724.89,  0.8181, 18.1056
  23761020,1,   0,5388,  4.1726, 2279.46,14382.43,62093.09,  0.4816, 18.1997
  23818619,1,   0,5427,  4.5013,  728.81, 4598.48,61515.96,  0.6848,  4.5667
  24138558,1,   0, 5017.69,  4.2010,  824.88, 5204.63,62418.98,  0.2745,  115.66
  24345651,1,   0,5915,  4.3975,  899.44, 5675.10,60759.49,  0.2227,  240.43
  24531840,1,   0, 6426.90,  4.0197, 1523.00, 9609.46,59151.31,  0.7797, 25.6920
  24599071,1,   0, 5181.11,  4.2311,  971.72, 6131.16,60933.47,  0.3590, 70.9372
  25214974,1,   0, 5783.33,  4.1678, 1280.41, 8078.84,58844.93,  0.7925, 33.5325
  25369902,1,   0,5367,  4.1262, 1821.49,11492.85,61979.73,  0.8946,  115.12
  25422655,1,   0, 5385.25,  4.3069, 1248.60, 7878.10,62066.54,  0.5791, 71.4698
  25523624,1,   0,4869,  4.1498, 1457.94, 9198.97,62457.73,  0.2111, 28.3440
  25817494,1,   0, 6328.75,  4.3155,  810.18, 5111.86,61150.21,  0.2785,  6.6391
  26158429,1,   0, 5451.57,  4.4744, 1052.19, 6638.86,61103.96,  0.2702,  8.6981
  26294227,1,   0, 5829.33,  4.3394,  843.81, 5324.09,58798.95,  0.6517, 67.0052
  26515585,1,   0, 6239.23,  4.4108, 1052.63, 6641.66,60455.11,  0.2482, 13.5795
  26526506,1,   0,4267,  4.5969,  382.63, 2414.22,59726.21,  0.1405, 48.9311
  26703135,1,   0, 4287.25,  4.4945,  882.77, 5569.89,61917.23,  0.3533, 69.1127
  26745404,1,   0,5097,  4.3171,  955.66, 6029.79,60619.98,  0.7921,  5.1662
  26878562,1,   0, 4978.08,  4.5414,  584.49, 3687.87,59951.98,  0.0174, 25.4688
  27105555,1,   0, 5407.50,  4.4371, 1932.74,12194.77,58882.20,  0.1875,  155.71
  27168693,1,   0, 4026.25,  4.1505,  754.49, 4760.50,59517.11,  0.1531, 18.7532
  27239244,1,   0,4480,  2.8247, 5042.86,31818.32,61291.08,  0.6293, 16.7552
  27340034,1,   0, 4899.43,  4.4225, 1168.63, 7373.58,59463.94,  0.7327,  6.0939
  27829520,1,   0, 4894.59,  4.5879,  692.38, 4368.60,61557.49,  0.4518, 22.2967
  27942820,1,   0,5779,  4.4314,  913.08, 5761.12,60319.02,  0.4807, 70.7817
  28112751,1,   0, 3705.79,  4.5748,  360.72, 2276.02,61300.14,  0.1268, 11.7767
  28267572,1,   0,5001,  4.4128,  340.90, 2150.94,58837.16,  0.0919, 55.8737
  28334351,1,   0, 4682.50,  4.5548,  782.96, 4940.16,61563.07,  0.1932, 34.9154
  28436325,1,   0,5357,  4.0266, 2699.78,17034.49,59935.06,  0.7959, 66.1592
  28472023,1,   0,5770,  4.0625, 1742.77,10996.12,62146.20,  0.5308, 46.0552
  28786343,1,   0,5384,  4.2852, 2161.69,13639.37,59173.20,  0.6735, 24.8000
  28858073,1,   0,5811,  4.2833, 2083.77,13147.68,60747.16,  0.0503, 36.6633
  28897226,1,   0, 3936.70,  4.3432,  830.91, 5242.69,61928.16,  0.4461,  104.15
  29052093,1,   0, 4979.32,  3.8376, 1855.63,11708.25,59440.99,  0.3907, 17.9825
  29240878,1,   0, 4471.97,  3.6817,  857.85, 5412.69,61248.56,  0.9556, 93.1661
  29278327,1,   0, 6131.50,  4.3443,  950.39, 5996.55,61361.82,  0.2392, 33.2185
  29491927,1,   0, 5139.52,  4.4661, 1576.29, 9945.73,61641.71,  0.2988,  9.7489
  29610699,1,   0,4935,  4.2692, 2224.20,14033.75,61480.93,  0.2200,  375.64
  29819778,1,   0, 4903.75,  4.6046, 1005.83, 6346.38,58718.08,  0.3567, 74.1799
  29858636,1,   0, 5383.67,  4.4353, 1375.71, 8680.11,59919.84,  0.0080,  7.6016
  29871989,1,   0, 4666.26,  4.5981,  808.93, 5104.01,59440.96,  0.0465, 74.8481
  30170948,1,   0, 4958.97,  3.8654, 1297.02, 8183.62,60618.96,  0.6759, 23.6755
  30504329,1,   0, 4374.54,  4.3119, 1029.55, 6496.01,61861.34,  0.0229,  7.1270
  30606045,1,   0, 5388.67,  4.4346, 1671.96,10549.36,58721.79,  0.8899, 96.1562
  31136398,1,   0,3942,  4.3004,  548.46, 3460.52,59736.59,  0.3867, 23.1266
  31195806,1,   0,5738,  4.2961,  460.79, 2907.37,60597.70,  0.7623, 30.5149
  31222241,1,   0, 3811.05,  2.9811, 2579.31,16274.37,61638.64,  0.2016, 25.5523
  31443176,1,   0, 4830.14,  4.5896,  563.54, 3555.69,61847.31,  0.1385,  5.9434
  31509929,1,   0, 4406.24,  4.5064,  803.34, 5068.74,60687.75,  0.0205, 45.8523
  31607565,1,   0,5024,  4.5917,  651.13, 4108.33,60090.85,  0.6734,  2.9789
  31701003,1,   0,4771,  4.7364,  919.46, 5801.37,58774.32,  0.3056, 12.6813
  32061910,1,   0, 7124.84,  4.1615, 2269.63,14320.41,58667.54,  0.6496, 40.1628
  32093906,1,   0,5322,  4.0726, 2482.01,15660.40,60641.15,  0.9146, 12.4243
  32223957,1,   0,4497,  4.6093,  529.21, 3339.11,58873.64,  0.8714, 30.8215
  32510838,1,   0,5763,  3.8972, 3084.52,19461.98,61580.48,  0.7957, 70.7456
  32859570,1,   0, 4379.35,  3.5488, 1924.93,12145.47,60368.76,  0.0466, 42.6139
  32874156,1,   0, 5179.23,  4.0963, 1512.17, 9541.17,61025.07,  0.0280, 23.0483
  32938287,1,   0, 3734.33,  4.5009,  557.91, 3520.18,60442.91,  0.5157, 43.9896
  33235046,1,   0,5335,  4.1690,  986.39, 6223.69,60590.36,  0.6445, 15.4657
  33361450,1,   0, 3938.93,  4.4694,  136.82,  863.25,61453.05,  0.6509, 23.6827
  33610288,1,   0, 4402.50,  4.4332, 1074.81, 6781.57,61656.05,  0.0381,  261.84
  33843890,1,   0, 4973.67,  4.7254,  272.37, 1718.53,60370.75,  0.8563, 26.2584
  34073527,1,   0, 5380.50,  4.4215, 1401.93, 8845.61,62291.01,  0.6058, 14.4990
  34220173,1,   0, 4958.97,  3.8654, 1297.02, 8183.62,60618.96,  0.6759, 23.6755
  34391061,1,   0,5322,  4.0726, 2482.01,15660.40,60641.15,  0.9146, 12.4243
  34444913,1,   0, 5117.39,  3.9181, 2097.76,13235.94,58994.44,  0.6100, 62.2139
  34615580,1,   0, 4947.50,  3.1525, 3585.51,22623.07,62391.07,  0.5966, 13.4491
  34632610,1,   0, 3932.11,  3.9993, 1494.54, 9429.94,62464.10,  0.4515, 33.0522
  34975828,1,   0, 4965.50,  4.6590,  474.54, 2994.15,59164.43,  0.4548, 45.0378
  35139894,1,   0, 4986.67,  4.6423,  920.47, 5807.78,61717.53,  0.0484,  5.9668
  35922081,1,   0, 5736.45,  4.1548, 2663.83,16807.60,59842.16,  0.8101, 26.2963
  36114214,1,   0,3933,  4.0851, 1074.00, 6776.47,61357.21,  0.4760, 48.9650
  36249000,1,   0, 4875.80,  4.5754,  656.81, 4144.22,60975.86,  0.6593,  147.71
  36376201,1,   0, 5467.42,  4.3928,  964.69, 6086.80,60402.42,  0.8234, 33.6726
  36497396,1,   0, 4804.20,  2.9775, 2688.89,16965.78,62373.17,  0.5569, 40.2853
  36551205,1,   0, 4643.04,  2.7307, 1399.97, 8833.23,60811.18,  0.2195,  296.58
  36689698,1,   0,4872,  3.9422,  787.65, 4969.73,58732.02,  0.2693,  328.29
  36872291,1,   0, 4928.92,  4.4919,  706.31, 4456.54,59308.91,  0.6418,  5.1132
  37227230,1,   0, 4672.50,  4.6210,  881.60, 5562.53,61969.43,  0.6774,  2.9984
  37890300,1,   0,4267,  4.5969,  382.63, 2414.22,59726.21,  0.1405, 48.9311
  37914211,1,   0, 4032.31,  4.5181,  280.09, 1767.24,59780.16,  0.2864, 12.7833
  37960943,1,   0, 5017.69,  4.2010,  824.88, 5204.63,62418.98,  0.2745,  115.66
  38014758,1,   0, 3968.62,  4.6238,  198.13, 1250.09,59721.07,  0.0647, 20.5446
  38021767,1,   0, 4631.17,  3.6013, 1151.54, 7265.75,62411.22,  0.5848, 11.9828
  38386912,1,   0, 4207.64,  3.9346, 1147.32, 7239.07,60925.06,  0.9526, 30.2678
  38560156,1,   0, 5380.50,  4.4215, 1401.93, 8845.61,62291.01,  0.6058, 14.4990
  38709861,1,   0,5052,  4.1912, 2073.40,13082.26,59793.88,  0.8229, 34.0714
  38726524,1,   0, 5407.50,  4.4371, 1932.74,12194.77,58882.20,  0.1875,  155.71
  38785688,1,   0, 6131.50,  4.3443,  950.39, 5996.55,61361.82,  0.2392, 33.2185
  39033049,1,   0, 5139.52,  4.4661, 1576.29, 9945.73,61641.71,  0.2988,  9.7489
  39110903,1,   0,5867,  4.2065, 2531.00,15969.56,59729.95,  0.9319, 37.0268
  39233485,1,   0, 5824.99,  4.4817,  766.28, 4834.92,61891.79,  0.8456, 39.7803
  39236788,1,   0,4934,  4.4755,  586.99, 3703.67,62424.13,  0.0222, 21.9903
  39803117,1,   0,4299,  4.4960,  810.44, 5113.52,61097.90,  0.5306, 23.8110
  40111247,1,   0,4981,  4.4805,  374.03, 2359.95,61932.23,  0.7610, 51.1171
