object_id,submodel,sim_av,TDE_INDEX,Rph0,Tvis,b,bhmass,eff,lphoto,starmass
      4173,1,  0.0903, 449,  5.1567,  0.3338,  0.9554, 0.2760E+07,  0.0111,  1.6643,  8.2129
      9197,1,  0.0432, 513,  9.4126,  0.9175,  0.9367, 0.4621E+07,  0.0066,  1.5992,  1.0588
     13371,1,  0.0922,  89,  3.8189,  0.1032,  0.9748, 0.6740E+06,  0.0310,  1.7363,  1.0206
     23116,1,  0.4419, 451,  8.7477,  0.0314,  1.0048, 0.6715E+07,  0.0054,  1.7272,  8.2268
     27066,1,  0.1689, 278,  5.3911,  0.0640,  0.9462, 0.3322E+06,  0.0175,  1.5741,  1.0251
     27885,1,  0.8959,  15,  4.0371,  0.0204,  1.0221, 0.9430E+07,  0.0176,  1.8420,  1.1187
     39688,1,  1.6098, 341,  7.1743,  0.0060,  0.9604, 0.7216E+07,  0.0097,  1.7010,  1.0443
     40473,1,  0.1931,  16,  3.2260,  0.0736,  0.9944, 0.1439E+07,  0.0256,  1.6686,  1.0935
     47387,1,  0.3459, 223,  6.4501,  0.0024,  0.9606, 0.2266E+07,  0.0092,  1.6928,  1.0370
     52901,1,  0.5883, 532,  2.6075,  0.0443,  0.7930, 0.1563E+07,  0.0574,  1.5562,  1.0669
     54590,1,  0.2172, 284,  2.1084,  0.0534,  0.9969, 0.1696E+06,  0.0402,  1.5140,  1.2608
     60415,1,  1.1927, 194,  2.9881,  0.2388,  1.0121, 0.2082E+07,  0.0224,  1.5108,  1.6270
     61127,1,  0.4568, 536,  4.9412,  0.0051,  0.9680, 0.1294E+07,  0.0140,  1.6837,  1.3189
     63067,1,  0.3777, 128,  2.4336,  0.0336,  0.9805, 0.2642E+06,  0.0555,  1.6041,  1.8208
     72292,1,  0.0025, 327,  5.7397,  0.4640,  1.0157, 0.8515E+06,  0.0097,  1.5054,  1.0341
     72300,1,  0.0063, 235,  4.7450,  0.0041,  1.0121, 0.4903E+06,  0.0227,  1.8077,  1.0682
     74982,1,  0.1848, 288,  2.8927,  0.0254,  0.9133, 0.1697E+06,  0.0366,  1.5339,  1.0812
     82833,1,  0.2612, 281,  6.3148,  0.0031,  1.0193, 0.4157E+07,  0.0093,  1.7182,  1.0215
     86865,1,  0.3273, 314,  4.5718,  0.3224,  0.9540, 0.4286E+06,  0.0217,  1.5618,  1.4030
     86925,1,  0.2694, 714, 13.7840,  0.1867,  0.9938, 0.3508E+07,  0.0057,  1.7128,  1.4150
     97406,1,  0.1023, 145,  3.1988,  0.3805,  0.9726, 0.2913E+06,  0.0307,  1.5692,  1.0252
    102737,1,  0.1085, 179,  2.0928,  0.0526,  0.8984, 0.2959E+06,  0.0607,  1.7703,  1.2219
    106263,1,  0.0309, 659,  3.9922,  0.0985,  1.0263, 0.1321E+06,  0.0225,  1.5830,  1.2961
    108100,1,  0.1062, 454,  3.2746,  0.1132,  0.9779, 0.1464E+06,  0.0381,  1.6336,  1.1800
    113669,1,  0.1373, 151,  6.2211,  0.0473,  0.9632, 0.3594E+06,  0.0149,  1.4912,  1.2738
    113836,1,  0.0133, 635,  8.4749,  0.0418,  1.0072, 0.5477E+06,  0.0074,  1.5654,  6.3801
    121110,1,  1.1469,  65,  6.6952,  0.0075,  0.8676, 0.5582E+07,  0.0092,  1.6518,  1.1710
    122615,1,  0.5009, 730,  5.0550,  0.0036,  1.0313, 0.3530E+06,  0.0197,  1.6759,  1.6056
    127669,1,  0.4413, 588,  3.7188,  0.0800,  0.9755, 0.2677E+06,  0.0325,  1.5382,  1.0270
    131216,1,  0.0148,  18,  5.1915,  0.0652,  1.0197, 0.3222E+07,  0.0120,  1.8167,  1.1745
    132547,1,  0.0779, 400,  5.5684,  0.1872,  0.9947, 0.6703E+06,  0.0164,  1.6440,  4.1424
    133234,1,  0.4745,   4,  2.6499,  0.0323,  0.9823, 0.4114E+07,  0.0296,  1.8170,  1.1095
    142571,1,  0.1823, 314,  4.5718,  0.3224,  0.9540, 0.4286E+06,  0.0217,  1.5618,  1.4030
    148996,1,  0.5695, 262,  5.3060,  0.0596,  0.9622, 0.9692E+06,  0.0110,  1.5401,  1.0135
    151025,1,  0.0931, 646,  2.3520,  0.0999,  1.0478, 0.1129E+07,  0.0269,  1.7044,  1.7866
    151556,1,  0.4678, 716,  5.9819,  0.0069,  1.0166, 0.7580E+06,  0.0133,  1.7042,  1.6250
    156512,1,  0.4205, 705,  3.1452,  0.6199,  1.0155, 0.7610E+06,  0.0321,  1.7219,  1.1183
    159214,1,  0.0762, 460,  1.8566,  0.0245,  0.9718, 0.1983E+06,  0.1281,  1.6255,  1.0190
    162092,1,  0.1217, 520,  2.7863,  0.0180,  0.9071, 0.2329E+07,  0.0669,  1.4794,  1.0601
    164909,1,  0.2585, 279,  4.6404,  0.3544,  0.9874, 0.4669E+07,  0.0120,  1.6984,  1.0379
    170796,1,  0.0654, 251,  2.8217,  0.0286,  0.8760, 0.2249E+06,  0.0438,  1.4822,  1.0856
    172258,1,  0.0445, 519,  4.7356,  0.0059,  1.0063, 0.8521E+06,  0.0213,  1.5921,  1.1285
    185172,1,  1.1496, 651,  2.2807,  0.0127,  0.9340, 0.1719E+07,  0.0495,  1.5812,  1.2342
    194324,1,  1.0064, 666, 11.7210,  0.0017,  0.8941, 0.9978E+06,  0.0069,  1.5453,  1.0136
    200048,1,  0.1218, 293,  3.8702,  0.0345,  0.9856, 0.3867E+06,  0.0239,  1.7959,  1.0983
    201455,1,  1.0693, 213,  7.4593,  0.1873,  0.9783, 0.2269E+07,  0.0094,  1.7257,  1.0847
    210794,1,  0.2366, 567,  9.0699,  0.0373,  0.9690, 0.2123E+06,  0.0154,  1.5361,  1.0218
