object_id,submodel,sim_av,IIN_INDEX,Mejecta,Kinetic_energy,Mcsm,R0,Rho
        43,3,  0.1316, 801,  7.4119,  1.5891,  4.7343, 56.0676, 0.103E-13
       240,3,  0.0493, 965,  7.6644,  2.5606,  0.7794, 38.2697, 0.130E-13
       489,3,  0.0675, 712,  4.2930,  1.7727,  1.0747, 25.2412, 0.270E-13
       694,3,  0.0372, 829,  5.8104,  3.0746,  0.2486, 13.7084, 0.549E-13
      1065,3,  0.2291, 613,  9.3159,  1.5395,  4.4784, 54.4964, 0.840E-14
      1632,3,  0.0512, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
      2193,3,  0.2549, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
      2354,3,  0.0516, 450,  8.4777,  5.3128,  1.8728, 14.9813, 0.554E-13
      2886,3,  0.0844, 565,  6.5233,  2.7909,  0.6656, 25.1023, 0.168E-13
      3133,3,  0.2214, 570,  7.9453,  2.8568,  0.5376, 54.4928, 0.854E-14
      3284,3,  0.1186, 723,  8.1090,  1.4630,  4.6589, 50.9344, 0.814E-14
      3509,3,  0.1316, 841,  5.9181,  5.5271,  0.3624, 55.5551, 0.376E-14
      3753,3,  0.3957,  52,  5.2157,  2.0836,  0.6427, 80.7529, 0.166E-14
      4293,3,  0.0214, 974,  8.7518,  5.1021,  0.3818, 91.7322, 0.262E-14
      4489,3,  0.3159, 446, 10.2731,  5.3456,  1.3609, 52.9033, 0.590E-14
      5315,3,  0.4469, 792,  5.8385,  3.6977,  0.2347, 12.7546, 0.519E-13
      5354,3,  0.2020, 564,  7.2705,  6.3600,  0.7680, 37.3200, 0.687E-14
      5527,3,  0.0970, 521,  8.4396,  9.6013,  0.7816, 91.5185, 0.186E-14
      5911,3,  0.5910, 332,  3.7407,  1.1095,  0.2365, 17.8206, 0.267E-13
      7651,3,  0.5403, 452,  6.2351,  7.5343,  2.3567, 21.2046, 0.336E-13
      8441,3,  0.2434, 122,  9.0018,  8.8392,  4.2037, 20.1405, 0.615E-13
      8816,3,  0.0563, 966,  9.9119,  6.4980,  0.1951, 18.7848, 0.465E-13
      9322,3,  0.0517, 888,  8.8897,  5.0946,  0.4462, 93.6085, 0.255E-14
     10244,3,  0.5883, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
     10467,3,  0.1367, 903,  4.8965,  5.6785,  0.2161, 14.7398, 0.381E-13
     11677,3,  0.0336, 786,  8.9469,  2.6664,  0.3716, 52.7839, 0.679E-14
     12323,3,  0.1895, 788,  5.5682,  2.3515,  0.4386, 47.4369, 0.728E-14
     13320,3,  0.0151, 979,  8.2395,  3.2381,  0.1645, 93.9693, 0.261E-14
     13708,3,  0.4241, 979,  8.2395,  3.2381,  0.1645, 93.9693, 0.261E-14
     14768,3,  0.0182, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
     16488,3,  0.1149, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
     17329,3,  0.2477, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
     17540,3,  0.0296, 599,  6.7276,  5.1747,  0.4285, 32.3531, 0.904E-14
     17656,3,  0.2962, 979,  8.2395,  3.2381,  0.1645, 93.9693, 0.261E-14
     20451,3,  0.4555, 229,  4.5362,  4.8146,  0.6633, 28.9948, 0.112E-13
     20950,3,  0.0978, 100, 10.0268,  3.5398,  0.9262, 11.6792, 0.850E-13
     21183,3,  0.5939, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
     21515,3,  0.3061, 650,  6.2645,  1.6911,  0.7633, 85.7795, 0.416E-14
     21838,3,  0.2797, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
     22139,3,  0.2239, 920,  9.3786,  5.0457,  2.0736, 32.6394, 0.205E-13
     24298,3,  0.1004, 243,  9.4927,  4.8721,  1.8876, 16.8176, 0.587E-13
     24675,3,  0.2697, 736,  9.9517,  7.0128,  0.7278, 27.6615, 0.138E-13
     27184,3,  0.0652, 480,  9.6433,  2.3865,  0.2585, 38.0361, 0.140E-13
     27361,3,  0.0316, 932,  9.1438,  1.2977,  6.7639, 76.7481, 0.922E-14
     27375,3,  0.2388, 600,  3.0889,  1.8915,  0.1041, 11.8937, 0.216E-13
     27502,3,  0.0233, 941,  4.9738,  9.0518,  0.0993, 15.1832, 0.109E-13
     28237,3,  0.1531, 689,  4.1001,  1.9597,  0.8686, 66.5427, 0.351E-14
     28377,3,  0.6758, 882,  7.9542,  8.3332,  0.5025, 24.2239, 0.203E-13
     30346,3,  0.1305, 750,  9.4085,  9.3255,  2.8461, 94.3108, 0.258E-14
     30877,3,  0.0005, 247,  4.9347,  3.4602,  0.2624, 13.0422, 0.581E-13
     30978,3,  0.3014, 966,  9.9119,  6.4980,  0.1951, 18.7848, 0.465E-13
     30989,3,  0.4418, 667,  7.4887,  3.8221,  1.5791, 60.3156, 0.502E-14
     31557,3,  0.0609, 738,  7.6882,  1.6381,  7.8300, 23.4084, 0.717E-13
     32309,3,  0.1233, 927,  6.4050,  3.1550,  0.1340, 23.8365, 0.315E-13
     34104,3,  0.4241, 974,  8.7518,  5.1021,  0.3818, 91.7322, 0.262E-14
     34178,3,  0.0026, 928,  6.4616,  5.8610,  0.1942, 17.2608, 0.428E-13
     37252,3,  0.4149, 979,  8.2395,  3.2381,  0.1645, 93.9693, 0.261E-14
     37706,3,  0.0551, 487,  9.0740,  4.2469,  0.8708, 12.7429, 0.570E-13
     37889,3,  0.1339, 981,  9.6709,  4.2289,  0.4766, 93.1963, 0.289E-14
     38107,3,  0.5407, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
     38599,3,  0.0566, 512,  4.2569,  1.6975,  1.1803, 25.4945, 0.265E-13
     40290,3,  0.0881, 966,  9.9119,  6.4980,  0.1951, 18.7848, 0.465E-13
     40302,3,  0.7918, 320,  6.1046,  2.0270,  1.6722, 19.3759, 0.754E-13
     40961,3,  0.0903, 648,  5.8835,  3.2190,  0.1661, 23.9503, 0.304E-13
     42629,3,  0.0433, 629,  4.2085,  3.6650,  0.6846, 16.8308, 0.376E-13
     43004,3,  0.4573, 472,  8.3175,  1.3369,  0.4163, 17.8164, 0.301E-13
     43731,3,  0.0518, 781,  7.6820,  3.4913,  0.3383, 44.4396, 0.721E-14
     44714,3,  0.0413, 813,  7.0033,  8.0264,  0.2030, 16.7629, 0.336E-13
     44839,3,  0.0094, 853, 10.5991,  4.6106,  0.5831, 21.7183, 0.669E-13
     45319,3,  0.0749, 639,  9.3833,  2.7198,  0.9642, 41.5601, 0.132E-13
     47225,3,  0.0072, 570,  7.9453,  2.8568,  0.5376, 54.4928, 0.854E-14
     48209,3,  0.0676, 928,  6.4616,  5.8610,  0.1942, 17.2608, 0.428E-13
     49273,3,  0.0703, 981,  9.6709,  4.2289,  0.4766, 93.1963, 0.289E-14
     50043,3,  0.2385, 565,  6.5233,  2.7909,  0.6656, 25.1023, 0.168E-13
     50695,3,  0.0587, 932,  9.1438,  1.2977,  6.7639, 76.7481, 0.922E-14
     52900,3,  0.2423, 782,  7.6184, 10.4525,  1.0521, 19.1151, 0.412E-13
     53076,3,  0.1003, 927,  6.4050,  3.1550,  0.1340, 23.8365, 0.315E-13
     53263,3,  0.0719, 413,  5.2333,  1.3967,  0.2657, 21.2799, 0.262E-13
     53339,3,  0.6840, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
     53529,3,  0.5564, 746,  5.3218,  2.0741,  1.3029, 15.4636, 0.640E-13
     54416,3,  0.1051, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
     54717,3,  0.7311, 571,  5.4390,  1.8193,  1.4985, 17.4116, 0.718E-13
     54771,3,  0.0286, 865,  8.0495,  8.8560,  0.2338, 50.0916, 0.360E-14
     55910,3,  0.1073, 571,  5.4390,  1.8193,  1.4985, 17.4116, 0.718E-13
     56076,3,  0.0900, 979,  8.2395,  3.2381,  0.1645, 93.9693, 0.261E-14
     56267,3,  0.4008, 918, 10.7633,  2.9044,  0.1653, 31.9615, 0.117E-13
     56561,3,  0.0322, 430,  7.3847,  9.0085,  1.3444, 17.2644, 0.454E-13
     57741,3,  0.2295, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
     59267,3,  0.0801, 895, 10.5530,  7.4404,  0.7902, 76.2025, 0.441E-14
     59978,3,  0.2405, 799,  7.1336,  5.4717,  0.1510, 38.2274, 0.152E-13
     60756,3,  0.1329, 894,  7.6827,  1.3067,  0.2998, 13.8927, 0.395E-13
     61002,3,  0.1536, 458,  8.2199,  6.2952,  0.3375, 49.6992, 0.455E-14
     61268,3,  0.0021, 791,  9.6943,  6.8393,  0.2414, 17.7915, 0.489E-13
     62409,3,  0.1602, 580,  7.8947,  2.4783,  0.0805, 67.4676, 0.359E-14
     62876,3,  0.1833, 593,  7.6691,  7.0562,  1.4392, 29.2433, 0.155E-13
     63365,3,  0.0485, 821,  7.3894,  5.2863,  0.3320, 53.5018, 0.461E-14
     64773,3,  0.0059, 648,  5.8835,  3.2190,  0.1661, 23.9503, 0.304E-13
     66836,3,  0.3520, 648,  5.8835,  3.2190,  0.1661, 23.9503, 0.304E-13
     66852,3,  0.1350, 958, 10.7363,  8.2314,  0.6623, 18.5981, 0.970E-13
     67815,3,  0.0015, 986,  7.6827,  2.2682,  1.7072, 38.7145, 0.210E-13
     68053,3,  0.1161, 965,  7.6644,  2.5606,  0.7794, 38.2697, 0.130E-13
     68969,3,  0.4190, 935,  6.6964,  5.5585,  0.5641, 22.2714, 0.256E-13
     68980,3,  0.2798, 882,  7.9542,  8.3332,  0.5025, 24.2239, 0.203E-13
     69263,3,  0.4160, 902,  4.2013,  3.2904,  0.2320, 13.9969, 0.481E-13
     69357,3,  0.3357, 792,  5.8385,  3.6977,  0.2347, 12.7546, 0.519E-13
     70224,3,  0.5658, 902,  4.2013,  3.2904,  0.2320, 13.9969, 0.481E-13
     70407,3,  0.8989, 480,  9.6433,  2.3865,  0.2585, 38.0361, 0.140E-13
     70612,3,  0.0132, 306,  6.6693,  4.0583,  0.4340, 24.1136, 0.155E-13
