object_id,submodel,sim_av,Iax_INDEX,M_V,t_rise,dm15B,dm15R
      1114,1,   0, 877,-17.4290, 15.6130,  1.4410,  0.4060
      1128,1,   0, 776,-17.6570, 15.2250,  1.5350,  0.4940
      1347,1,   0,  11,-17.7070, 16.7510,  1.3460,  0.6650
      1578,1,   0, 618,-18.2970, 20.0980,  0.9810,  0.1860
      2133,1,   0, 884,-18.3330, 18.6270,  1.4350,  0.3700
      2183,1,   0, 551,-15.5100, 13.6400,  1.9570,  0.7180
      3751,1,   0, 540,-18.5120, 17.3710,  1.4800,  0.1410
      3857,1,   0, 618,-18.2970, 20.0980,  0.9810,  0.1860
      4202,1,   0, 781,-18.2550, 20.5980,  1.3070,  0.8470
      4278,1,   0, 724,-18.0980, 15.4710,  0.9800,  0.6050
      4467,1,   0, 367,-17.0750, 13.9880,  1.8760,  0.9850
      4903,1,   0, 169,-18.2250, 17.9430,  1.7870,  0.4900
      5412,1,   0, 621,-16.2700, 14.5920,  1.5190,  0.3810
      5535,1,   0, 517,-18.3820, 20.7310,  1.3770,  0.4700
      5591,1,   0, 596,-18.5310, 17.3720,  1.3710,  0.2140
      5801,1,   0, 920,-18.8440, 18.7960,  1.7040,  0.4470
      5834,1,   0, 538,-18.5420, 19.7820,  1.0940,  0.3470
      6217,1,   0, 199,-17.8660, 17.8500,  0.7680,  0.4330
      6369,1,   0, 893,-17.5300, 15.7020,  1.6560,  0.7010
      6620,1,   0, 516,-18.3690, 20.0920,  1.5870,  0.1930
      6729,1,   0, 867,-18.6220, 20.3540,  1.4460,  0.2700
      6937,1,   0, 111,-18.4060, 14.4890,  1.6750,  0.3810
      7344,1,   0, 400,-17.0660, 14.4760,  1.4440,  0.5620
      8469,1,   0, 516,-18.3690, 20.0920,  1.5870,  0.1930
      8664,1,   0, 146,-17.7890, 20.0990,  1.1550,  0.6320
      8850,1,   0, 459,-18.6200, 20.4770,  1.0730,  0.4460
      8902,1,   0, 139,-17.2540, 13.8860,  1.1090,  0.5520
      9423,1,   0, 423,-17.3370, 15.3700,  1.4480,  0.4370
      9468,1,   0, 777,-17.8250, 19.2270,  1.3680,  0.9140
     10510,1,   0, 526,-18.9810, 23.2100,  1.6100,  0.5240
     10730,1,   0,   0,-17.6910,  15,  1.6170,  0.1180
