object_id,submodel,sim_av,non1a_template_index
       236,1,   0, 205
       662,1,   0, 203
      2265,1,   0, 101
      2856,1,   0, 103
      2932,1,   0, 217
      2933,1,   0, 104
      3457,1,   0, 202
      3657,1,   0, 102
      3763,1,   0, 104
      3875,1,   0, 202
      3889,1,   0, 102
      3925,1,   0, 217
      4712,1,   0, 205
      5034,1,   0, 102
      5162,1,   0, 103
      5210,1,   0, 105
      5317,1,   0, 203
      5419,1,   0, 202
      6692,1,   0, 105
      7246,1,   0, 234
      7275,1,   0, 234
      7667,1,   0, 234
      7703,1,   0, 103
      7820,1,   0, 218
      7858,1,   0, 203
      7867,1,   0, 103
      7942,1,   0, 218
      8181,1,   0, 212
      8565,1,   0, 218
      8625,1,   0, 203
      8644,1,   0, 105
      8734,1,   0, 101
      8983,1,   0, 102
      9237,1,   0, 101
      9554,1,   0, 203
      9884,1,   0, 203
     10071,1,   0, 103
     10150,1,   0, 212
     10593,1,   0, 203
     11260,1,   0, 203
     11764,1,   0, 105
     11965,1,   0, 203
     12078,1,   0, 105
     12159,1,   0, 212
     12312,1,   0, 102
     12338,1,   0, 104
     12416,1,   0, 104
     12518,1,   0, 203
     14349,1,   0, 105
     14506,1,   0, 103
     14555,1,   0, 234
     15736,1,   0, 205
     15868,1,   0, 234
     16229,1,   0, 203
     17276,1,   0, 105
     17471,1,   0, 234
     17760,1,   0, 205
     17892,1,   0, 205
     17942,1,   0, 218
     18256,1,   0, 234
     18387,1,   0, 203
     18645,1,   0, 103
     19213,1,   0, 218
     19577,1,   0, 218
     19719,1,   0, 234
     19924,1,   0, 212
     20145,1,   0, 104
     20237,1,   0, 205
     20280,1,   0, 105
     20350,1,   0, 103
     20368,1,   0, 212
     20567,1,   0, 103
     20876,1,   0, 217
     21608,1,   0, 105
     22433,1,   0, 202
     22446,1,   0, 205
     23296,1,   0, 203
     24116,1,   0, 212
     24134,1,   0, 203
     24179,1,   0, 203
     24495,1,   0, 218
     25647,1,   0, 202
     26049,1,   0, 212
     26181,1,   0, 205
     26338,1,   0, 212
     26973,1,   0, 103
     27040,1,   0, 104
     27554,1,   0, 104
     28246,1,   0, 234
     28542,1,   0, 212
     28893,1,   0, 202
     28977,1,   0, 218
     29451,1,   0, 218
     29721,1,   0, 205
     29911,1,   0, 105
     29913,1,   0, 234
     30195,1,   0, 105
     30946,1,   0, 203
     31971,1,   0, 202
     32223,1,   0, 218
     32269,1,   0, 103
     32333,1,   0, 103
     32606,1,   0, 234
     32944,1,   0, 212
     33401,1,   0,  22
     35467,1,   0, 101
     35495,1,   0, 203
     35545,1,   0, 203
     36167,1,   0, 234
     36536,1,   0, 105
     36766,1,   0, 205
     37392,1,   0, 203
     37433,1,   0,  22
     37895,1,   0, 105
     38238,1,   0, 202
     38341,1,   0, 101
     39624,1,   0, 103
     39846,1,   0,  22
     40052,1,   0, 234
     40393,1,   0, 101
     40446,1,   0, 212
     40535,1,   0,  22
     40587,1,   0, 218
     40947,1,   0, 202
     40964,1,   0, 203
     41087,1,   0, 234
     41552,1,   0, 218
     41678,1,   0, 105
     41863,1,   0, 103
     42118,1,   0, 104
     42240,1,   0, 202
     43104,1,   0, 212
     44030,1,   0, 218
     44219,1,   0, 234
     44273,1,   0, 104
     44514,1,   0, 212
     45065,1,   0, 102
     45733,1,   0, 104
     45760,1,   0, 103
     45932,1,   0, 212
     46306,1,   0, 203
     46756,1,   0, 205
     46942,1,   0, 202
     47330,1,   0, 218
     47365,1,   0, 203
     47447,1,   0, 218
     47524,1,   0, 103
     47582,1,   0,  22
     47878,1,   0, 218
     47966,1,   0, 103
     48038,1,   0, 101
     48744,1,   0, 202
     48880,1,   0, 203
     49116,1,   0, 105
     49376,1,   0, 202
     49520,1,   0, 218
     49976,1,   0, 104
     50001,1,   0, 218
     50282,1,   0, 212
     50765,1,   0, 217
     50916,1,   0, 104
     51950,1,   0, 104
     52326,1,   0, 105
     52427,1,   0, 101
     53181,1,   0, 212
     53568,1,   0, 202
     53885,1,   0, 101
     54136,1,   0, 218
     54233,1,   0, 203
     54424,1,   0, 105
     54466,1,   0, 212
     54893,1,   0, 202
     55419,1,   0, 203
     55567,1,   0, 218
     56334,1,   0, 212
     56799,1,   0, 218
     56802,1,   0, 104
     56821,1,   0, 212
     56932,1,   0, 218
     57641,1,   0, 218
     57791,1,   0, 103
     57882,1,   0, 218
     57937,1,   0, 203
     57939,1,   0, 218
     58133,1,   0, 203
     58199,1,   0, 202
     58373,1,   0, 103
     58497,1,   0, 202
     58697,1,   0, 205
     58871,1,   0, 234
     58931,1,   0, 203
     59347,1,   0, 203
     60347,1,   0, 104
     60456,1,   0, 205
     60731,1,   0, 234
     60910,1,   0, 101
     61165,1,   0, 104
     61265,1,   0, 202
     61781,1,   0, 104
     61836,1,   0, 103
     61902,1,   0, 234
     61904,1,   0, 105
     62040,1,   0,  22
     62054,1,   0, 203
     62364,1,   0, 103
     62908,1,   0, 218
     62960,1,   0, 203
     64589,1,   0, 203
     64854,1,   0, 103
     65169,1,   0, 218
     65246,1,   0, 105
     65914,1,   0, 104
     65915,1,   0, 212
     65951,1,   0, 203
     66157,1,   0, 212
     66448,1,   0, 212
     66523,1,   0, 104
     66674,1,   0, 105
     67764,1,   0, 104
     68520,1,   0, 217
     68671,1,   0, 205
     69960,1,   0, 202
     70630,1,   0, 203
     70804,1,   0, 202
     70813,1,   0, 104
     71553,1,   0, 234
     71864,1,   0, 202
     72282,1,   0, 202
     72322,1,   0, 205
     72482,1,   0, 101
     72655,1,   0, 212
     72656,1,   0, 217
     72776,1,   0, 205
     73185,1,   0, 202
     73665,1,   0, 203
     74057,1,   0, 103
     74678,1,   0, 203
     74910,1,   0, 202
     74942,1,   0, 234
     75073,1,   0, 218
     75112,1,   0, 103
     75122,1,   0, 234
     76336,1,   0, 101
     76613,1,   0, 217
     76818,1,   0, 218
     76857,1,   0, 102
     77164,1,   0, 105
     77171,1,   0, 104
     77292,1,   0, 212
     77658,1,   0, 103
     78144,1,   0, 104
     78473,1,   0, 205
     79291,1,   0, 202
     79501,1,   0, 104
     79778,1,   0, 103
     79901,1,   0, 203
     80440,1,   0, 203
     80852,1,   0, 205
     81252,1,   0, 202
     81749,1,   0, 212
     82071,1,   0, 102
     82370,1,   0, 105
     82983,1,   0, 203
     83052,1,   0, 104
     83436,1,   0, 218
     83493,1,   0, 234
     83756,1,   0, 103
     83784,1,   0, 212
     84245,1,   0, 202
     84251,1,   0, 203
     84604,1,   0, 202
     84639,1,   0, 218
     85076,1,   0, 205
     85667,1,   0, 205
     85682,1,   0, 203
     87161,1,   0, 104
     87578,1,   0, 105
     88396,1,   0, 218
     89165,1,   0, 212
     89632,1,   0, 218
     89769,1,   0, 218
     90124,1,   0, 212
     90284,1,   0, 234
     90534,1,   0, 103
     90581,1,   0, 218
     90589,1,   0, 104
     90748,1,   0, 234
     90814,1,   0, 234
     91292,1,   0, 205
     91396,1,   0, 203
     91430,1,   0, 104
     91731,1,   0, 203
     91825,1,   0, 203
     92456,1,   0, 212
     93079,1,   0, 202
     93096,1,   0, 212
     93575,1,   0, 234
     93593,1,   0, 217
     94004,1,   0, 202
     94018,1,   0, 212
     94209,1,   0, 234
     94412,1,   0, 202
     94613,1,   0, 202
     94619,1,   0, 203
