object_id,submodel,sim_av,KN_INDEX,VK,LOGXLAN,LOGMASS
     62187,1,  0.0478, 294,  0.2000,  -9, -1.1249
    139362,1,  0.0807, 168,  0.1000,  -9, -1.6021
    156731,1,  0.2114, 240,  0.3000,  -9, -1.3979
    259823,1,  0.0892, 180,  0.3000,  -9, -1.6021
   1053493,1,  0.1285, 287,  0.1000,  -5, -1.1249
   1573501,1,  0.1406, 318,  0.1000,  -9,  -1
   2176152,1,  0.0280, 300,  0.3000,  -9, -1.1249
   2793774,1,  0.0427, 326,  0.3000,  -3,  -1
   3572446,1,  0.1599, 288,  0.1000,  -9, -1.1249
   4311960,1,  0.1100, 300,  0.3000,  -9, -1.1249
   4428523,1,  0.1189, 282,  0.0500,  -9, -1.1249
   4539153,1,  0.2683, 106,  0.1000,  -4,  -2
   4683865,1,  0.4255, 256,  0.1000,  -4, -1.3010
   4902783,1,  0.0274, 227,  0.1000,  -5, -1.3979
   5102349,1,  0.0308, 298,  0.3000,  -4, -1.1249
   5262481,1,  0.1472, 263,  0.2000,  -5, -1.3010
   6460481,1,  0.0664, 246,  0.0300,  -9, -1.3010
   8071229,1,  0.2224, 204,  0.2000,  -9, -1.5229
  11084451,1,  0.0297, 328,  0.3000,  -5,  -1
  11574036,1,  0.4306, 239,  0.3000,  -5, -1.3979
  11742403,1,  0.0144, 323,  0.2000,  -5,  -1
  11904502,1,  0.0639, 312,  0.0500,  -9,  -1
  13537416,1,  0.1276, 225,  0.1000,  -3, -1.3979
  13783209,1,  0.3057, 323,  0.2000,  -5,  -1
  14740738,1,  0.2812, 282,  0.0500,  -9, -1.1249
  15805725,1,  0.1300, 318,  0.1000,  -9,  -1
  15887434,1,  0.0809, 202,  0.2000,  -4, -1.5229
  15897952,1,  0.2146, 316,  0.1000,  -4,  -1
  16173841,1,  0.2184, 327,  0.3000,  -4,  -1
  16452890,1,  0.0152, 131,  0.0500,  -5, -1.6990
  16808559,1,  0.1352, 285,  0.1000,  -3, -1.1249
  17116737,1,  0.4443, 183,  0.0300,  -3, -1.5229
  17185635,1,  0.1420, 282,  0.0500,  -9, -1.1249
  17524511,1,  0.1074, 196,  0.1000,  -4, -1.5229
  17958346,1,  0.0028, 275,  0.0300,  -5, -1.1249
  18770173,1,  0.1946, 287,  0.1000,  -5, -1.1249
  19183060,1,  0.0177, 143,  0.2000,  -5, -1.6990
  20470513,1,  0.1632, 160,  0.0500,  -4, -1.6021
  20539244,1,  0.0683, 298,  0.3000,  -4, -1.1249
  21087202,1,  0.0613, 245,  0.0300,  -5, -1.3010
  21120961,1,  0.6532, 189,  0.0500,  -3, -1.5229
  21600537,1,  0.0144, 293,  0.2000,  -5, -1.1249
  22245279,1,  0.1256, 317,  0.1000,  -5,  -1
