object_id,submodel,sim_av,stretch,color
       211,1,   0,  0.8807,  0.5439
      1702,1,   0,  1.1969,  0.1855
      1780,1,   0,  0.8757,  0.6076
      2021,1,   0,  0.9326,  0.5168
      2760,1,   0,  1.0238,  0.5905
      2922,1,   0,  1.0898,  0.4739
      3041,1,   0,  0.8879,  0.8012
      3373,1,   0,  0.9375,  0.8369
      4750,1,   0,  0.9549,  0.4281
      6821,1,   0,  1.0300,  0.5997
     10790,1,   0,  1.0080,  0.3281
     11204,1,   0,  0.9008,  0.4799
     13169,1,   0,  1.0521,  0.6888
     13408,1,   0,  0.9438,  0.6346
     14598,1,   0,  1.0254,  0.4227
     14853,1,   0,  0.8610,  0.7176
     15069,1,   0,  0.9837,  0.4885
     15979,1,   0,  1.0554,  0.2529
     16638,1,   0,  0.9648,  0.5808
     17046,1,   0,  1.0956,  0.3183
     17274,1,   0,  0.9978,  0.4895
     18520,1,   0,  1.1106,  0.4646
     19154,1,   0,  1.0394,  0.5129
     21991,1,   0,  0.7981,  0.6948
     22267,1,   0,  0.8547,  0.5564
     23792,1,   0,  1.1965,  0.1573
     24165,1,   0,  1.0909,  0.0735
     24269,1,   0,  0.9726,  0.4312
     24601,1,   0,  1.0987,  0.2735
     25008,1,   0,  1.0575,  0.3719
     25388,1,   0,  0.9086,  0.5530
     25927,1,   0,  0.8215,  0.8015
     28471,1,   0,  0.9190,  0.6031
     28636,1,   0,  1.0214,  0.4292
     29550,1,   0,  1.0338,  0.3751
     30736,1,   0,  1.0807,  0.4392
     31088,1,   0,  1.0689,  0.2930
     32377,1,   0,  0.8661,  0.6094
     33478,1,   0,  0.9419,  0.6301
     33617,1,   0,  0.9946,  0.5501
     34107,1,   0,  0.9731,  0.5492
     34437,1,   0,  0.9819,  0.5657
     36058,1,   0,  1.0198,  0.3318
     36511,1,   0,  0.8885,  0.7839
     37872,1,   0,  1.0006,  0.6620
     38790,1,   0,  1.1039,  0.2293
     39785,1,   0,  0.8997,  0.7355
     40132,1,   0,  0.9679,  0.7727
     40779,1,   0,  0.7474,  0.6236
     42333,1,   0,  1.0990,  0.4036
     42688,1,   0,  0.9399,  0.2098
     43961,1,   0,  0.8210,  0.6504
     45349,1,   0,  0.7695,  0.6021
     45766,1,   0,  1.0726,  0.5640
     46646,1,   0,  1.0376,  0.8623
     47780,1,   0,  1.0527,  0.1944
     48725,1,   0,  0.9727,  0.5544
     48785,1,   0,  0.9333,  0.5051
     49166,1,   0,  0.8495,  0.8310
     49859,1,   0,  0.9903,  0.4624
     50277,1,   0,  0.9716,  0.5090
     50543,1,   0,  0.9467,  0.3831
     51001,1,   0,  0.9934,  0.5880
     53756,1,   0,  0.9553,  0.5061
     53853,1,   0,  1.0178,  0.5658
     54128,1,   0,  0.9428,  0.5594
     54193,1,   0,  1.0703,  0.3895
     54499,1,   0,  0.9604,  0.4788
     54692,1,   0,  0.9493,  0.5913
     55053,1,   0,  1.0131,  0.6115
