object_id,submodel,sim_av,SLSN_INDEX,bfield,mns,pspin,kappa,kappagamma,mej,temp,vej
      3423,1,  0.0564, 400,  0.6480,  1.7055,  1.4727,  0.1644,  0.1679,  6.5690, 6192.23,12942.37
     10321,1,  0.0202, 821,  0.7277,  1.7442,  2.0859,  0.1760,  0.0403, 10.7007, 7027.12,10281.35
     14114,1,  1.9169, 415,  0.7322,  1.5648,  1.6462,  0.0549,  0.1455,  4.0893, 4208.39, 8922.22
     14553,1,  0.0906, 331,  2.0546,  2.1468,  1.7240,  0.0654,  0.7606, 10.1956, 4599.34, 8992.39
     16559,1,  0.0257, 979,  0.1717,  1.5570,  1.4470,  0.1145,  0.0005,  4.8563, 7030.84,10738.03
     23539,1,  0.0531, 136,  0.8908,  2.2747,  3.4486,  0.1429,  0.6244,  3.5010, 6585.71,10184.92
     30998,1,  0.2903, 215,  1.4700,  1.9056,  3.9306,  0.1237,  0.3855,  1.9281, 7017.11, 8059.80
     31569,1,  0.1031, 583,  1.4373,  1.7235,  2.7540,  0.1728, 20.5006,  1.4663, 7047.14, 9688.77
     33142,1,  0.0090, 112,  3.0005,  1.7767,  3.9084,  0.1197,  1.6899,  1.8754, 6674.04,12725.99
     35315,1,  0.0615, 440,  0.5346,  1.9292,  1.4901,  0.1416,  1.0713,  8.5579, 6113.46, 8456.92
     35553,1,  0.1438, 923,  6.9974,  2.1106,  3.4947,  0.1734,  4.2637,  2.1431, 6418.06,11060.40
     39152,1,  0.0434, 616,  0.1041,  1.7671,  1.8573,  0.1100,  0.0033,  6.1934, 6300.67, 9686.75
     41282,1,  0.2369, 404,  1.8113,  1.8366,  2.9741,  0.1141,  3.3305,  6.1840, 5597.21, 5621.86
     42469,1,  0.0317, 890,  0.6954,  2.2767,  1.9463,  0.1966,  0.0431,  7.4251, 5665.33,12072.42
     42576,1,  0.2042, 537,  1.3972,  1.8262,  4.0421,  0.1274,  2.2175,  1.5181, 6050.10, 5918.51
     43456,1,  0.0094, 792,  0.1239,  2.2057,  2.7295,  0.1528, 77.5652,  1.1699, 6837.18,11166.86
     48619,1,  0.3218, 383,  0.3304,  1.4768,  1.6324,  0.1004,  0.0567,  4.2319, 7051.95, 7893.14
