object_id,submodel,sim_av,tau,v,re_in,d_s,d_l,teta_e,mass,porb,alpha,beta,ratio,m1,m2,clock,i_p,omega
      4025,1,   0, 19.7500, 96210, 0.1641E+12,8000,5045,  0.0002,  0.0908,  810.14,  0.6986,  0.3177,  0.1462,  0.0594,  0.0313,  -1, -0.5060, -1.2920
     49172,1,   0,  960.76, 76940, 0.6387E+13,8000,4677,  0.0098,  131.86,11344.90,  1.1811,  1.4367,  0.5081, 71.5379, 60.3200,   1, -1.2630, -1.4330
     63782,1,   0, 35.3600, 40670, 0.1243E+12,8000,3004,  0.0003,  0.0517,  214.64,  0.3155,  0.1450,  0.9886,  0.0395,  0.0122,   1, -1.1730,  0.3560
     93049,1,   0, 41.4700, 45850, 0.1643E+12,8000,  296.10,  0.0040,  0.5942,  156.07,  0.4355,  0.1801,  1.5941,  0.4534,  0.1408,   1, -0.1890, -0.2800
    124323,1,   0, 14.5000, 23910, 0.2996E+11,8000,4915,   0,  0.0030,  548.65,  0.9443,  0.8811,  0.1586,  0.0018,  0.0012,   1,  0.3560,  0.6680
    149344,1,   0, 31.6500, 30010, 0.8206E+11,8000, 37.0800,  0.0158,  1.1458, 67.7954,  0.6224,  0.0700,  2.8008,  0.5858,  0.5599,   1, -0.7720, -1.4640
    162367,1,   0,  8.9900, 74020, 0.5747E+11,8000,  101.10,  0.0041,  0.2078, 28.6344,  0.2832,  0.3285,  1.8832,  0.1079,  0.0999,   1, -1.2160, -0.1390
    231522,1,   0, 36.7900, 99060, 0.3149E+12,8000,5199,  0.0004,  0.3421,  982.95,  0.6445,  0.4589,  0.2246,  0.1746,  0.1675,   1,  1.0340, -0.3590
    253649,1,   0, 24.8200, 99460, 0.2133E+12,8000,6430,  0.0002,  0.2264, 1206.34,  0.9505,  1.1783,  0.1235,  0.1515,  0.0749,   1, -0.5280, -1.0710
   1114445,1,   0,  120.76, 39110, 0.4080E+12,8000,2074,  0.0014,  0.6804, 2089.76,  1.0344,  0.5133,  0.3467,  0.3796,  0.3007,   1,  0.7670, -0.2140
   1181297,1,   0,  8.1300, 19050, 0.1338E+11,8000,  189.60,  0.0005,  0.0061,  102.88,  0.8787,  0.7431,  0.4741,  0.0043,  0.0018,  -1,  0.1990,  1.3320
   1320096,1,   0,  8.3200, 80360, 0.5779E+11,8000,6627,  0.0001,  0.0184,  999.63,  1.3415,  0.1435,  0.0500,  0.0111,  0.0073,  -1,  1.5570,  0.5290
   1482736,1,   0,  911.85, 68040, 0.5360E+13,8000,3858,  0.0099, 90.3246, 5096.91,  0.7277,  0.5516,  1.0734, 47.5987, 42.7259,  -1, -0.2190,  0.0080
   1558067,1,   0, 10.0400, 29020, 0.2516E+11,8000,6727,   0,  0.0037,  350.80,  0.8987,  0.1508,  0.1717,  0.0021,  0.0016,  -1, -0.0370,  0.6060
   1590146,1,   0, 68.5600, 93010, 0.5510E+12,8000,4124,  0.0010,  0.9541, 3921.91,  1.3044,  1.2583,  0.1049,  0.7698,  0.1843,  -1, -1.2450, -1.0030
