object_id,submodel,sim_av,ILOT_INDEX,Mejecta,Vejecta,Mcsm,Rho,R0
      4719,1,  0.1762, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
      6289,1,  0.1026, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
     18351,1,  0.2141,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
     25429,1,  0.0229, 362,  8.2140,  662.52,  1.4930, 0.538E-13, 47.2100
     30527,1,  0.6713, 148,  2.1865,  684.07,  0.8964, 0.284E-13, 52.7470
     30794,1,  0.0601, 316,  2.5370,  599.36,  3.0405, 0.625E-14, 95.0297
     63854,1,  1.0437, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
     65510,1,  0.1423, 356,  1.6964,  990.01,  0.6816, 0.117E-13, 66.5765
     77772,1,  0.1067, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
     82532,1,  0.0586, 229,  3.7969,  606.51,  7.0135, 0.933E-14, 94.7878
     83753,1,  0.0434, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
     86680,1,  0.1422,  39,  0.8487,  998.49,  8.8040, 0.750E-13, 79.5041
     99619,1,  0.1752,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
    123835,1,  0.2013, 162,  1.7629,  718.75,  0.4778, 0.168E-13, 36.9601
    129650,1,  0.6115, 108,  7.3913,  791.22,  0.1044, 0.895E-14, 45.8690
    144604,1,  0.0883,   0,  0.7087,  989.60,  2.7807, 0.360E-13, 64.9978
    147285,1,  0.7815, 362,  8.2140,  662.52,  1.4930, 0.538E-13, 47.2100
    151354,1,  0.1590, 249,  2.0507,  906.89,  0.1625, 0.109E-13, 75.6235
    156574,1,  0.0232,  16,  0.4619,  799.21,  2.8362, 0.473E-13, 43.2382
    168413,1,  0.1320, 148,  2.1865,  684.07,  0.8964, 0.284E-13, 52.7470
    189577,1,  0.0155, 278,  4.3840,  629.24,  1.1786, 0.688E-13, 48.2347
    191255,1,  0.0651, 277,  4.9502,  442.74,  0.1111, 0.861E-13, 50.1407
    201634,1,  0.8209, 241,  0.7451,  861.66,  2.7003, 0.406E-13, 52.8518
    267525,1,  0.1926, 155,  0.5058,  636.66,  2.2175, 0.459E-13, 63.5823
    278353,1,  0.4214,   0,  0.7087,  989.60,  2.7807, 0.360E-13, 64.9978
    282887,1,  0.1393, 367,  4.4165,  668.35,  0.3734, 0.171E-13, 78.1171
    291394,1,  0.5803, 367,  4.4165,  668.35,  0.3734, 0.171E-13, 78.1171
    303499,1,  0.0342, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
    313620,1,  0.0111, 170,  2.5602,  976.82,  0.1605, 0.197E-13, 48.4698
    334211,1,  0.3491, 112,  0.2436,  872.34,  6.2528, 0.257E-13, 74.9503
    342690,1,  0.1575, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
   1197459,1,  0.0336, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   1395481,1,  0.1095, 129,  2.5043,  864.46,  1.1210, 0.662E-14, 86.3820
   1485876,1,  0.2157, 170,  2.5602,  976.82,  0.1605, 0.197E-13, 48.4698
   1502632,1,  0.0078,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
   1547696,1,  0.1136, 362,  8.2140,  662.52,  1.4930, 0.538E-13, 47.2100
   1551653,1,  0.1395, 196,  3.8477,  815.86,  0.1167, 0.119E-13, 89.1319
   1623333,1,  0.3705, 282,  4.6237,  464.01,  0.6655, 0.542E-13, 63.9405
   1640586,1,  0.1227, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
   1692723,1,  0.4399, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
   1764773,1,  0.0586, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   1892515,1,  0.0029, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
   1927359,1,  0.0551, 141,  8.8678,  920.11,  0.8305, 0.452E-13, 25.5851
   1979280,1,  0.0164, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
   2041222,1,  0.0071, 274,  0.2767,  927.22,  3.8479, 0.109E-13, 97.0998
   2050345,1,  0.1985, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
   2115861,1,  0.1349, 235,  3.2424,  665.25,  0.1582, 0.916E-13, 23.9017
   2154448,1,  0.4781, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
   2159907,1,  0.2180, 274,  0.2767,  927.22,  3.8479, 0.109E-13, 97.0998
   2204803,1,  0.1792, 132,  3.1007,  744.98,  0.4499, 0.127E-13, 50.5804
   2239510,1,  0.0300, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
   2290972,1,  0.0002, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
   2304714,1,  0.6680, 116,  7.8277,  692.83,  3.7652, 0.638E-13, 57.1584
   2385713,1,  0.0080, 152,  0.9262,  724.14,  0.7974, 0.707E-13, 23.6855
   2643676,1,  0.0138, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
   2824498,1,  0.1207, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
   2860113,1,  0.1293, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
   2942581,1,  0.8159,  58,  6.3414,  934.42,  1.4605, 0.286E-13, 39.0445
   3004981,1,  0.0817, 197,  4.0776,  521.81,  1.7358, 0.135E-13, 84.7201
   3427290,1,  0.7224,  25,  0.2332,  650.59,  4.6281, 0.533E-13, 71.6333
   3441252,1,  0.0520, 148,  2.1865,  684.07,  0.8964, 0.284E-13, 52.7470
   3494768,1,  0.6271, 170,  2.5602,  976.82,  0.1605, 0.197E-13, 48.4698
   3499866,1,  0.1802, 290,  7.7417,  583.51,  0.2114, 0.473E-13, 56.0018
   3567543,1,  0.0564, 367,  4.4165,  668.35,  0.3734, 0.171E-13, 78.1171
   3608784,1,  0.1977, 362,  8.2140,  662.52,  1.4930, 0.538E-13, 47.2100
   3701632,1,  0.4247,  56,  0.3181,  733.00,  4.7185, 0.350E-13, 44.7165
   3722477,1,  0.0582,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
   3722693,1,  0.2537, 155,  0.5058,  636.66,  2.2175, 0.459E-13, 63.5823
   3784221,1,  0.1045,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
   3907604,1,  0.0045, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
   3915443,1,  0.0725,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
   3927080,1,  0.3185, 234,  8.0949,  527.68,  0.2059, 0.397E-13, 66.8561
   3979212,1,  0.1228,  19,  1.9210,  601.28,  0.2757, 0.124E-13, 57.3847
   4047090,1,  0.0131, 285,  1.8855,  866.47,  3.6717, 0.276E-13, 94.3169
   4250539,1,  0.1831, 362,  8.2140,  662.52,  1.4930, 0.538E-13, 47.2100
   4259577,1,  0.6088, 383,  5.7426,  656.37,  9.0839, 0.734E-13, 37.0609
   4279463,1,  0.0718, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   4283191,1,  0.1410, 288,  1.7010,  680.79,  0.4670, 0.105E-13, 72.5141
   4410580,1,  0.0407, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   4648192,1,  0.1417, 249,  2.0507,  906.89,  0.1625, 0.109E-13, 75.6235
   4712098,1,  0.6286, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
   4845549,1,  0.1251, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   4908282,1,  0.1460,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
   4980228,1,  0.2862, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   5010569,1,  0.0981, 326,  4.9545,  878.04,  0.1956, 0.563E-13, 20.8363
   5012896,1,  0.0655, 367,  4.4165,  668.35,  0.3734, 0.171E-13, 78.1171
   5026270,1,  0.0294, 183,  7.9637,  702.32,  0.1633, 0.836E-13, 50.6959
   5043035,1,  0.0116, 118,  4.8419,  930.83,  7.4171, 0.373E-13, 73.9401
   5063823,1,  1.1142, 357,  5.6890,  996.99,  1.1232, 0.322E-13, 50.4841
   5363040,1,  0.1316,  50,  2.9461,  936.65,  3.8523, 0.132E-13, 64.9692
   5552328,1,  0.0927, 251,  0.5009,  800.66,  8.5710, 0.118E-13, 85.3044
   5774821,1,  0.2733,  35,  3.4530,  962.58,  9.6666, 0.941E-13, 47.8536
   5817339,1,  0.0292, 228,  8.3916,  694.49,  0.7607, 0.304E-13, 72.0853
   6035200,1,  0.6069, 367,  4.4165,  668.35,  0.3734, 0.171E-13, 78.1171
