object_id,submodel,sim_av,Cart_INDEX,Mejecta,Vejecta,Fnick,Kappagamma,Temperature
       968,1,  0.0039,  31,  0.1295, 8878.26,  0.0024,  140.18, 3158.79
      3709,1,  0.1522,   7,  0.1015, 3984.38,  0.2366, 10.4438, 1887.56
      9229,1,  0.0971, 206,  3.6553, 3748.61,  0.0227,  3.7908, 3770.28
     10146,1,  0.0919, 108,  0.2433, 5125.07,  0.0024,  339.62, 1963.59
     10621,1,  0.0607, 207,  0.1816, 4061.58,  0.0570,  3.1043, 3520.30
     12436,1,  0.1842,  83,  0.2014, 6561.50,  0.0043,  513.16, 4745.61
     13341,1,  0.0040, 201,  1.2541, 9311.53,  0.2470, 59.0541, 2198.17
     14034,1,  0.3630,  31,  0.1295, 8878.26,  0.0024,  140.18, 3158.79
     15437,1,  0.1699, 158,  0.9010, 6714.44,  0.2368,  1.0521, 4840.01
     15663,1,  0.0911, 206,  3.6553, 3748.61,  0.0227,  3.7908, 3770.28
     16432,1,  0.2150,  42,  0.1026, 8917.97,  0.1450,  276.39, 1378.22
     16944,1,  0.0040, 140,  3.2364, 8614.70,  0.1645,  4.5071, 2434.52
     19075,1,  0.0131, 170,  0.0718, 6980.87,  0.0033,  825.30, 4724.41
     19982,1,  0.2773, 161,  0.4479, 3745.62,  0.0112,  846.19, 3165.29
     21823,1,  0.1617,  47,  0.2986, 4691.08,  0.0384,  1.3589, 3956.60
     25181,1,  0.6858,   1,  3.6982, 8842.07,  0.2895,  5.4983, 1260.04
     31882,1,  1.5162, 166,  0.4061, 4778.10,  0.0503,  0.1469, 4331.24
     32684,1,  0.2380, 119,  1.9674, 4702.96,  0.0067,  229.14, 2100.42
     32861,1,  0.0230,  89,  0.0476, 8718.13,  0.1462,  2.3477, 2758.60
     35551,1,  0.1139, 206,  3.6553, 3748.61,  0.0227,  3.7908, 3770.28
     41072,1,  0.0090,  66,  0.6000, 8716.42,  0.5662,  262.04, 4677.95
     44626,1,  0.4470, 125,  1.1934, 9102.56,  0.0022,  0.1363, 2684.90
     45817,1,  0.0673,  47,  0.2986, 4691.08,  0.0384,  1.3589, 3956.60
     49775,1,  0.0262, 209,  0.7276, 9556.75,  0.4253,  3.8727, 4914.65
     52287,1,  0.1962, 213,  1.5974, 3616.15,  0.0385, 16.8956, 3706.50
     52906,1,  0.1447,  17,  0.2831, 8971.46,  0.1798, 19.7661, 4095.27
     52932,1,  0.1431, 182,  0.1134, 3864.80,  0.0087,  4.5063, 3032.14
