object_id,submodel,sim_av,PISN_INDEX,Mejecta,Kinetic_energy
    107780,1,  0.0861, 501,  137.04, 93.3376
    145664,1,  0.1148, 609,  229.26, 47.8389
    230192,1,  0.1113, 409,  241.53, 14.8637
    330535,1,  0.6622, 307,  192.67, 78.5514
    339196,1,  0.3561, 463,  210.52, 65.3565
    341607,1,  0.1488, 935,  130.11, 21.7537
   1009694,1,  0.2087, 306,  193.77, 94.9687
   1123930,1,  0.1553, 154,  114.31, 40.8847
   1263840,1,  0.0773, 240,  125.15, 57.3915
   1577805,1,  0.1634, 398, 70.0179, 76.5333
   1732182,1,  0.0305, 646,  198.51, 11.0101
   1781381,1,  0.2222, 712,  147.23, 78.9734
   2089328,1,  0.1358, 647,  234.34, 10.1614
   2130759,1,  0.0861, 487,  220.19, 23.9500
   2188995,1,  0.2546, 321,  148.02, 85.1958
   2203383,1,  0.0135, 840,  130.33, 50.3735
   2207244,1,  0.0637, 421,  186.89, 82.8897
   2241583,1,  0.3640,  86,  170.92, 75.0650
   2343083,1,  0.1249, 559, 61.0242, 15.2484
   2533288,1,  0.3123, 687,  234.34, 23.5147
   2589499,1,  0.3236, 533,  107.63, 27.8239
   2754709,1,  0.0950, 809,  153.82, 34.9988
   2899327,1,  0.0113, 113,  183.60, 86.6420
   3011146,1,  0.0427, 425,  180.03, 28.9457
   3098986,1,  0.0350, 594,  160.09, 89.8885
   3113921,1,  0.1304,  38,  105.61, 33.0326
   3115124,1,  0.1364, 754,  138.40, 14.2010
   3249042,1,  0.0085, 535,  193.56, 30.1903
   3367799,1,  0.0579, 552,  214.49, 32.4965
   3473626,1,  0.0162, 177,  187.96, 32.2978
   3728291,1,  0.1936, 666,  117.96, 98.3127
   3776200,1,  0.1360,  89,  222.73, 98.3964
   3828024,1,  0.4617, 493,  106.84, 95.5336
   4099393,1,  0.1035,  85,  150.89, 37.8970
   4142401,1,  0.6706, 790,  130.22, 80.4306
   4177996,1,  0.7256, 872,  229.00, 81.2446
   4343493,1,  0.8658, 283,  158.29, 81.2161
   4610161,1,  0.1550, 948, 59.1240, 92.7196
   4617392,1,  0.0486, 571,  177.75, 32.2169
   4671153,1,  0.1050, 797,  232.47, 12.8118
   4774568,1,  0.1440, 876,  234.87, 55.5231
   4828225,1,  0.1773,  54,  239.94, 11.0750
   5078523,1,  0.0384, 647,  234.34, 10.1614
   5225877,1,  0.0705, 951,  200.43, 20.8442
   5308757,1,  0.7189, 480, 82.0843, 46.8729
   5404010,1,  0.0811, 755,  126.66, 38.6247
   5499242,1,  0.7651, 575,  158.16, 99.3895
   5571596,1,  0.0838, 930,  187.39, 61.5246
   5695577,1,  0.0115, 995,  150.77, 13.7227
   6168418,1,  0.1110, 879,  192.08, 15.0615
   6175692,1,  0.5273, 860,  205.75, 45.7075
   6290447,1,  0.2199,   2,  198.79, 36.3907
   6320615,1,  0.6470, 658,  178.93, 41.9680
   6348115,1,  1.2700, 142,  187.68, 46.7387
   6452810,1,  0.7328,  92,  209.63, 91.9519
   6579253,1,  0.0369, 272,  175.04, 68.3361
   6779717,1,  0.0725, 190, 73.1274, 56.2543
   6840970,1,  0.0073, 800,  171.36, 95.0651
   6852367,1,  0.7799, 923,  177.76, 62.5455
   6894160,1,  0.5137, 895,  119.15, 56.3053
   6904055,1,  0.1775, 598,  221.21, 66.7967
   7054554,1,  0.2186, 637, 85.0287, 80.2420
   7069382,1,  0.0084, 734,  207.27, 34.4159
   7076822,1,  0.1395,  74,  160.94, 62.5177
   7112354,1,  0.3512, 921,  202.44, 37.8222
   7147071,1,  0.1000, 704,  163.96, 74.3713
   7318793,1,  0.2409, 215,  169.70, 97.0269
   7432545,1,  0.3066, 977,  115.62, 17.6383
   7656865,1,  0.1605,  85,  150.89, 37.8970
   7824568,1,  0.1592, 754,  138.40, 14.2010
   7946006,1,  0.4239, 846,  182.12, 70.3105
   7978313,1,  0.1146, 781,  242.30, 38.3938
   8061701,1,  0.1082, 111,  219.29, 24.5962
   8354257,1,  0.6238, 574,  159.73, 81.7254
   8553385,1,  0.7976, 191, 90.6375, 59.1303
   8631652,1,  0.3697, 572,  122.69, 14.1579
   8640787,1,  0.1266, 862,  157.90, 88.6303
   8791452,1,  0.2941, 266,  216.88, 44.4489
   8840071,1,  0.0462, 206,  188.66, 37.7593
   8949361,1,  0.0135, 740, 85.2813, 69.7775
   8967886,1,  0.0220,   9,  124.55, 85.3634
   9081460,1,  0.0604, 820,  198.85, 59.8450
   9214777,1,  0.0024, 608,  150.68, 60.9189
   9326529,1,  0.0321, 490,  132.31, 21.0796
   9399404,1,  0.1836, 436,  208.54, 44.9915
   9446000,1,  0.0360, 873,  147.76, 32.9226
   9536186,1,  0.0190, 581,  222.52, 22.2922
   9626734,1,  0.1229, 480, 82.0843, 46.8729
   9707966,1,  0.1714, 665,  151.25, 23.5510
   9884417,1,  0.0953, 685,  247.51, 55.9450
   9900458,1,  0.0040, 544, 99.1947, 63.3893
  10401131,1,  0.1166, 709,  124.54, 95.4094
  10411592,1,  0.4466, 107, 56.0115, 33.4230
  10582221,1,  0.7521, 634,  128.85, 65.1899
  10818835,1,  0.3086, 685,  247.51, 55.9450
  10833794,1,  0.1570, 343,  225.37, 98.7876
  11078830,1,  0.3959, 947, 66.9299, 93.3380
  11126957,1,  0.0919,  42,  141.10, 40.0913
  11142074,1,  0.0119, 524,  158.73, 35.4515
  11164960,1,  0.4087, 829,  135.29, 27.1083
  11333238,1,  0.2164,  39,  143.74, 53.5920
  11374328,1,  0.0478, 193,  152.84, 93.8044
  11552976,1,  0.2418, 989,  221.51, 84.1400
  11675548,1,  0.0014, 616,  103.85, 65.3397
  11717448,1,  0.3629, 207, 87.8117, 77.7786
  11725090,1,  0.1145, 573, 71.2173, 35.9239
  11748911,1,  0.0514, 369, 97.5679, 37.4607
  11990681,1,  0.1118, 866,  211.15, 73.9846
  12359198,1,  0.0943, 695,  176.08, 78.8840
  12365173,1,  0.2073, 206,  188.66, 37.7593
  12400396,1,  0.1786, 452,  175.03, 31.0606
  12449798,1,  0.7200, 782,  159.33, 40.6549
  12572422,1,  0.0210, 814, 58.8515, 94.3673
  12614183,1,  0.2381, 512,  222.72, 10.0949
  12895515,1,  0.1569, 765, 92.2667, 69.4702
  12910608,1,  0.0966, 345,  164.33, 13.0264
  13020657,1,  0.0496, 518, 62.7364, 61.1954
  13425933,1,  0.3656, 468,  151.75, 41.7763
  13696998,1,  0.2150, 886,  244.51, 17.5950
  13725690,1,  0.0657, 223, 87.9148, 79.0208
  13757238,1,  0.3862, 197,  219.85, 72.1414
  14160361,1,  0.7696, 338,  203.64, 88.7314
  14306059,1,  0.1421, 158,  112.55, 54.6018
  14308099,1,  0.2861, 779,  221.34, 38.0141
  14315253,1,  0.0733, 295,  121.37, 23.1720
  14622837,1,  0.0922,  78,  219.32, 12.2988
  14721955,1,  0.0835, 873,  147.76, 32.9226
  14790725,1,  0.8696,  68, 61.3250, 17.0805
  14964968,1,  0.1821, 997, 58.5892, 52.2873
  15136870,1,  0.0435, 788,  107.25, 63.7443
  15307327,1,  0.0883, 645,  149.60, 83.6435
  15740959,1,  0.4746, 180,  195.78, 59.1257
  15926597,1,  0.1202,  41,  232.37, 91.3917
  16010068,1,  0.1210, 838,  189.11, 99.4679
  16079841,1,  0.5422, 192,  234.66, 60.3203
  16125355,1,  0.1652, 324,  190.01, 89.5429
  16158270,1,  0.3475,  89,  222.73, 98.3964
  16214776,1,  0.1592, 261,  226.92, 58.2099
  16347275,1,  0.0874, 192,  234.66, 60.3203
  16389961,1,  0.0602, 275,  156.24, 13.8414
  16470704,1,  0.0185, 293, 95.8536, 95.4180
  16515002,1,  0.0846, 501,  137.04, 93.3376
  16731850,1,  0.0544,   3,  234.13, 85.6343
  16975409,1,  0.0181, 844,  137.24, 79.7339
  16980382,1,  0.0872, 292, 54.2950, 44.9186
  17142342,1,  0.3329, 221,  216.15, 43.7020
  17176448,1,  0.0780, 167,  170.82, 47.8109
  17465967,1,  0.0814, 442,  119.75, 39.4850
  17504700,1,  0.0303, 641,  197.93, 91.9167
  17525906,1,  0.0792, 712,  147.23, 78.9734
  17651646,1,  0.8798,  83, 92.6629, 12.8170
  18020296,1,  0.2958,  78,  219.32, 12.2988
  18192114,1,  0.2163, 151,  195.18, 78.0807
  18294300,1,  0.1169, 767,  200.51, 78.8352
  18382321,1,  0.1749, 820,  198.85, 59.8450
  18671737,1,  0.1685, 380,  156.81, 78.7657
  18908636,1,  0.4221,  44,  131.93, 21.9295
  18929529,1,  0.0256, 763,  223.29, 78.2957
  18978245,1,  0.0156, 861,  222.59, 40.5902
  19082233,1,  0.0648, 675,  171.91, 67.0454
  19269768,1,  0.0774, 679,  189.06, 16.2271
  19407415,1,  0.1538, 457, 54.8090, 30.5242
  19433703,1,  0.0816, 728, 69.5778, 67.4753
  19769168,1,  0.1034, 133,  150.06, 50.4322
  19942958,1,  0.1349, 102,  199.53, 75.1870
  19977674,1,  0.0005, 477,  240.34, 59.1861
  19979367,1,  0.1031,  91,  228.79, 49.1317
  19992493,1,  0.0353,  28,  235.29, 42.7099
  20245152,1,  0.5685, 309,  140.73, 74.5346
  20370886,1,  0.0477, 463,  210.52, 65.3565
  20430504,1,  0.0586,  77,  138.94, 60.2855
  20690534,1,  0.5546, 187,  211.24, 23.9310
  20847552,1,  0.5406, 430,  107.71, 34.3369
  21082017,1,  0.3908, 995,  150.77, 13.7227
  21089781,1,  0.2056, 474,  187.95, 26.6008
  21293204,1,  0.0731, 204,  125.03, 32.0240
  21313317,1,  0.0069, 937, 71.4369, 87.3331
  21479838,1,  0.0154, 827,  130.81, 79.8221
  21480516,1,  0.0036, 783, 53.4614, 29.2401
  21533572,1,  0.0586, 624,  237.41, 14.2088
  21713738,1,  0.2704, 995,  150.77, 13.7227
  21910639,1,  0.2477, 728, 69.5778, 67.4753
  21923510,1,  0.0824, 262, 75.6705, 26.9858
  22264476,1,  0.6588, 352,  240.00, 57.0250
  22279705,1,  0.2430, 610,  191.01, 24.3541
  22281894,1,  0.8020, 276, 74.2989, 21.4927
  22407814,1,  0.3375, 817,  138.29, 53.8743
  22408267,1,  0.2687, 488, 51.4663, 88.6402
  22458214,1,  0.1273,  78,  219.32, 12.2988
  22513845,1,  0.0681,  38,  105.61, 33.0326
  22689978,1,  0.4069, 477,  240.34, 59.1861
  22739891,1,  0.1385, 236,  163.17, 52.5513
  22767702,1,  0.2061, 201, 57.6217, 87.6196
  22840284,1,  0.0943, 468,  151.75, 41.7763
  22907959,1,  0.0385, 788,  107.25, 63.7443
  22980544,1,  0.0289, 453,  212.15, 24.7570
  23040042,1,  1.6198, 487,  220.19, 23.9500
  23225022,1,  0.6832, 827,  130.81, 79.8221
  23405124,1,  0.1383, 256,  117.19, 33.8891
  23631607,1,  0.6870, 464,  243.85, 23.9096
  23692581,1,  0.3937, 262, 75.6705, 26.9858
  23885871,1,  0.5321, 904, 51.0646, 78.0600
  23901015,1,  0.0701, 209,  152.76, 58.8014
  24079369,1,  0.0484, 989,  221.51, 84.1400
  24087990,1,  0.0990, 127, 87.2971, 71.6367
  24342552,1,  0.2756, 708,  141.83, 77.0422
  24342674,1,  0.1620, 185, 65.4301, 72.6789
  24650174,1,  1.0371, 804,  109.66, 97.4466
  24714169,1,  0.0120, 682,  103.79, 55.7639
  24877223,1,  0.2605, 486, 53.2478, 36.8845
  24889525,1,  0.0686, 653,  119.39, 37.5338
  25019414,1,  0.1653, 545,  212.05, 95.0787
  25342695,1,  0.7252, 781,  242.30, 38.3938
  25658300,1,  0.1809, 299,  190.98, 26.7598
  25751468,1,  0.1879, 745,  112.14, 26.8649
